model,corruption,severity,class,f1,clean_f1,f1_drop
finetune,motion_blur,3,Tomato___Spider_mites_Two-spotted_spider_mite,0.6796116504854369,1.0,0.3203883495145631
frozen,motion_blur,1,Tomato___Bacterial_spot,0.608,0.9230769230769232,0.31507692307692325
frozen,jpeg,2,Tomato___Late_blight,0.6063829787234043,0.9171974522292994,0.3108144735058951
finetune,low_light,2,Grape___healthy,0.6923076923076923,1.0,0.3076923076923077
finetune,low_light,2,Cherry_(including_sour)___healthy,0.6923076923076923,1.0,0.3076923076923077
finetune,jpeg,3,Apple___Apple_scab,0.6938775510204082,1.0,0.30612244897959184
finetune,motion_blur,3,Cherry_(including_sour)___Powdery_mildew,0.6938775510204082,1.0,0.30612244897959184
finetune,jpeg,2,"Pepper,_bell___healthy",0.6956521739130435,1.0,0.30434782608695654
frozen,low_light,3,Blueberry___healthy,0.6792452830188679,0.9833333333333332,0.3040880503144653
frozen,jpeg,2,Potato___Late_blight,0.6461538461538462,0.95,0.30384615384615377
frozen,motion_blur,3,Blueberry___healthy,0.6811594202898551,0.9833333333333332,0.30217391304347807
frozen,jpeg,3,Potato___Early_blight,0.673469387755102,0.975609756097561,0.30214036834245894
frozen,low_light,2,Peach___Bacterial_spot,0.6713286713286714,0.972972972972973,0.30164430164430167
finetune,jpeg,3,Corn_(maize)___Northern_Leaf_Blight,0.6744186046511628,0.975,0.3005813953488372
frozen,motion_blur,3,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.6486486486486487,0.9473684210526316,0.29871977240398295
finetune,jpeg,3,"Pepper,_bell___Bacterial_spot",0.7058823529411765,1.0,0.2941176470588235
frozen,low_light,1,Tomato___Early_blight,0.5333333333333333,0.8266666666666667,0.29333333333333333
finetune,motion_blur,2,Corn_(maize)___healthy,0.7076923076923077,1.0,0.29230769230769227
frozen,jpeg,3,Grape___Black_rot,0.7012987012987013,0.9894736842105264,0.2881749829118251
frozen,motion_blur,2,Raspberry___healthy,0.7142857142857143,1.0,0.2857142857142857
finetune,motion_blur,2,Tomato___Late_blight,0.7120418848167539,0.9934640522875816,0.2814221674708277
